0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:38:37 +0900] "GET /pro0311/chap03/input.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:38:42 +0900] "GET /pro0311/getpost/input.jsp HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:38:45 +0900] "GET /pro0311/getpost/input.jsp HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:38:55 +0900] "GET /pro0311/chap03/input.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:38:57 +0900] "POST /pro0311/chap03/process.jsp HTTP/1.1" 500 2790
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:41:06 +0900] "GET /pro0311/chap03/input.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:41:09 +0900] "POST /pro0311/chap03/process.jsp HTTP/1.1" 500 2790
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:44:32 +0900] "GET /pro0311/chap03/input.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:44:34 +0900] "POST /pro0311/chap03/process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:44:34 +0900] "GET /pro0311/chap03/output.jsp?bookName=%EA%B0%80%EC%9D%84+%ED%96%A5%EA%B8%B0&authorName=%EB%8F%84%EC%A2%85%ED%99%94 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:44:58 +0900] "GET /pro0311/chap03/input.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:45:00 +0900] "POST /pro0311/chap03/process.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2026:12:45:00 +0900] "GET /pro0311/chap03/output.jsp?bookName=%EA%B0%80%EC%9D%84+%ED%96%A5%EA%B8%B0&author=%EB%8F%84%EC%A2%85%ED%99%94 HTTP/1.1" 200 220
